abbreviation	name	synonyms	equation	compartment	ecnumber	reversible	translocation	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
CMCBTFL	carboxymycobactin Fe3 loading		cmcbtt[c] + fe3[e] --> fcmcbtt[c]	Extra-organism, Cytosol		Irreversible	Y	2976727	10	
LNELDCCPT1	carnitine O-palmitoyltransferase		[c] : crn + lneldccoa --> coa + lneldccrn	Cytosol	2.3.1.21	Irreversible	N	2614621	2	
G14T18g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	thyroid glycoprotein beta-galactosyltransferase, beta-N-acetyl-beta1-4-galactosyltransferase, glycoprotein 4-beta-galactosyl-transferase, UDP-galactose-glycoprotein galactosyltransferase, thyroid galactosyltransferase, uridine diphosphogalactose-glycoprotein galactosyltransferase, glycoprotein beta-galactosyltransferase	[g] : core4 + (2) udpgal --> (2) h + ksii_core4_pre1 + (2) udp	Golgi Apparatus	2.4.1.38	Irreversible	N	2299226	2	
DCYTDn	deoxycytidine deaminase, nuclear		[n] : dcyt + h + h2o --> duri + nh4	Nucleus	3.5.4.14	Irreversible	N	2215342	2	
MYC2CYC1	Mycolic Acid Cyclopropanation	cyclopropane synthase	[c] : amet + meroacidcyc1ACP --> ahcys + h + meroacidcyc2ACP	Cytosol		Irreversible	N	2241808	10	
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)		2hdecg3p[p] --> 2hdecg3p[c]	Cytosol, Periplasm		Irreversible	Y	2707494	5	
CATDOX	catechol 1,2-dioxygenase;	catechol dioxygenase;, catechase;, pyrocatechol 1,2-dioxygenase;, catechol-oxygen 1,2-oxidoreductase;, pyrocatechase;, catechol 1,2-oxygenase;, 1,2-pyrocatechase;, catechol 1,2-dioxygenase;	[c] : catechol + o2 --> ccmuac + (2) h	Cytosol	1.13.11.1	Irreversible	N	3435746	4	
S2T1g	chondroitin 2-sulfotransferase, Golgi		[g] : cs_c,d,e_pre1 + paps --> cs_d_pre2 + h + pap	Golgi Apparatus		Irreversible	N	2300900	2	
P-Xylt1	p-xylene  outer membrane porin transport		p-xyl[e] <==> p-xyl[p]	Extra-organism, Periplasm		Reversible	Y	3462615	4	
PLIPA1G180pp	Phospholipase A1 (phosphatidylglycerol, n-C18:0) (periplasm)		[p] : h2o + pg180 --> 2agpg180 + h + ocdca	Periplasm	3.1.1.32	Irreversible	N	2706939	5	
ADNt2pp	adenosine transport in via proton symport (periplasm)		adn[p] + h[p] --> adn[c] + h[c]	Cytosol, Periplasm		Irreversible	Y	1911990	5	
FORt2	formate transport in via proton symport		for[e] + h[e] --> for[c] + h[c]	Extra-organism, Cytosol		Irreversible	Y	218444	7,8	
GLCAASE4ly	beta-glucuronidase, lysosomal	beta-glucuronide glucuronohydrolase glucuronidase, exo-beta-D-glucuronidase, ketodase	[l] : cs_a_deg2 + h2o --> cs_a_deg3 + glcur	Lysosome	3.2.1.31	Irreversible	N	2415932	2	
CHOLtn	Choline transport, nuclear through pores		chol[c] <==> chol[n]	Nucleus, Cytosol		Reversible	Y	2702225	2	
SBT_Lt	L-sorbitol transport via passive diffusion		sbt-L[e] <==> sbt-L[c]	Extra-organism, Cytosol		Reversible	Y	1457608	6	
CSPG_Bt	chondroitin sulfate B transport, golgi to extracellular		cspg_b[g] --> cspg_b[e]	Extra-organism, Golgi Apparatus		Irreversible	Y	2423013	2	
DASYN181	CDP-diacylglycerol synthetase (n-C18:1)	phosphatidate cytidyltransferase;, CDP-diacylglycerol synthase;, phosphatidate cytidylyltransferase;, CDP-DG, phosphatidic acid cytidylyltransferase;, DAG synthetase;, cytidine diphosphoglyceride pyrophosphorylase;, CTP-diacylglycerol synthetase;, CTP:1,2-diacylglycerophosphate-cytidyl transferase;, CDP diglyceride pyrophosphorylase;, CDP-diacylglyceride synthetase;	[c] : ctp + h + pa181 --> cdpdodec11eg + ppi	Cytosol	2.7.7.41	Irreversible	N	2617713	4,5	
NACtpp	Nicotinic acid uptake (periplasm)		nac[p] --> nac[c]	Cytosol, Periplasm		Irreversible	Y	1914487	5	
SKMt2	shikimate transport in via proton symport		h[e] + skm[e] <==> h[c] + skm[c]	Extra-organism, Cytosol		Reversible	Y	2976831	10	
NOPD	D-nopaline dehydrogenase		[c] : h2o + nadp + nop <==> akg + arg-L + h + nadph	Cytosol		Reversible	N	1822778	7	
FAOXC140	Beta oxidation of long chain fatty acid		[m] : (6) coa + (6) fad + (6) h2o + (6) nad + tdcoa --> (7) accoa + (6) fadh2 + (6) h + (6) nadh	Mitochondria	1.3.99.3	Irreversible	N	2975946	2	
AKGDbm	oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)		[m] : coa + sdhlam --> dhlam + succoa	Mitochondria	2.3.1.61	Irreversible	N	217117	6	
CLPNS160190	cardiolipin synthase (C16:0, C19:0) tuberculosis		[c] : (2) pg160190 <==> clpn160190 + glyc	Cytosol		Reversible	N	3139719	10	
PACCOAL	phenylacetate-CoA ligase		[c] : atp + coa + pac --> amp + phaccoa + ppi	Cytosol	6.2.1.30	Irreversible	N	1486460	1,2,5,9	
XAO2x	xanthine oxidase	hypoxanthine oxidase, xanthine:xanthine oxidase, xanthine oxidoreductase, Schardinger enzyme, hypoxanthine:oxygen oxidoreductase, xanthine:O2 oxidoreductase, hypoxanthine-xanthine oxidase	[x] : h2o + hxan + o2 --> h2o2 + xan	Peroxisome		Irreversible	N	2321117	2	
GTPCIII	GTP cyclohydrolase III	H4MPTS1	[c] : gtp + (2) h2o --> for + h + ptp	Cytosol		Irreversible	N	1885652	9	
FAO141p_odd	Fatty acid oxidation		[x] : (6) coa + (6) h2o + (6) nad + (5) o2 + tdecoa --> (7) accoa + (6) h + (5) h2o2 + (6) nadh	Peroxisome		Irreversible	N	1532502	6	
GMHEPPA	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase		[c] : gmhep17bp + h2o --> gmhep1p + pi	Cytosol		Irreversible	N	1488083	1,3,5,7	
ABTA	4-aminobutyrate transaminase		[c] : 4abut + akg --> glu-L + sucsal	Cytosol	2.6.1.19	Irreversible	N	141951	1,10,5,6,9	
STCOAtx	fatty acid intracellular transport		stcoa[c] <==> stcoa[x]	Peroxisome, Cytosol		Reversible	Y	2614212	2	
LCTStpp	Lactose transport via proton symport (periplasm)		h[p] + lcts[p] <==> h[c] + lcts[c]	Cytosol, Periplasm		Reversible	Y	1912473	5	
HMGL	hydroxymethylglutaryl-CoA lyase		[c] : hmgcoa --> acac + accoa	Cytosol	4.1.3.4	Irreversible	N	1485740	4	
PEAMNtex	phenethylamine transport via diffusion (extracellular to periplasm)		peamn[e] <==> peamn[p]	Extra-organism, Periplasm		Reversible	Y	2324341	5	
CODHr	carbon monoxide dehydrogenase / acetyl-CoA synthase		[c] : accoa + (2) fdox + h2o + h4spt <==> co2 + coa + (2) fdred + (2) h + mh4spt	Cytosol	1.2.99.2	Reversible	N	1885128	9	
XYLR	xylose reductase		[c] : h + nadph + xyl-D --> nadp + xylt	Cytosol	1.1.1.21	Irreversible	N	1457422	6	
DHFtl	dihydrofolate reversible lysosomal transport		dhf[c] <==> dhf[l]	Cytosol, Lysosome		Reversible	Y	2422728	2	
PLIPA2G141pp	Phospholipase A2 (phosphatidylglycerol, n-C14:1) (periplasm)		[p] : h2o + pg141 --> 1agpg141 + h + ttdcea	Periplasm	3.1.1.4	Irreversible	N	2733871	5	
CHLSTI	cholestenol delta-isomerase, lumped reaction		[c] : amet + o2 + zymst --> ahcys + ergtetrol + h + (2) h2o	Cytosol	5.3.3.5	Irreversible	N	1554819	6	
DHPM1	dihydropyrimidinase (5,6-dihydrouracil)		[c] : 56dura + h2o --> cala + h	Cytosol	3.5.2.2	Irreversible	N	200844	2,4,9	
HMGCOAR	Hydroxymethylglutaryl CoA reductase	3-hydroxy-3-methylglutaryl CoA reductase	[c] : coa + mev-R + (2) nadp <==> (2) h + hmgcoa + (2) nadph	Cytosol	1.1.1.34	Reversible	N	1454611	6	
TMAOR1e	Trimethylamine N-oxide reductase (menaquinol 8)		h[e] + mql8[c] + tmao[e] --> h2o[e] + mqn8[c] + tma[e]	Extra-organism, Cytosol		Irreversible	Y	1528631	1	
CDPDGPm_SC	CDP-diacylglycerol--serine O-phosphatidyltransferae, yeast-specific, mitochondrial		[m] : (0.01) cdpdag_SC + glyc3p <==> cmp + h + (0.01) pgp_SC	Mitochondria	2.7.8.8	Reversible	N	1531270	6	
ALDD2ym	aldehyde dehydrogenase (acetylaldehyde, NADP), mitochondrial		[m] : acald + h2o + nadp --> ac + (2) h + nadph	Mitochondria	1.2.1.4	Irreversible	N	1441692	6	
DM_dgtp(n)	DM_dgtp(n)		[n] : dgtp -->	Nucleus		Irreversible	N	2391566	2	
VALt2r	L-valine reversible transport via proton symport		h[e] + val-L[e] <==> h[c] + val-L[c]	Extra-organism, Cytosol		Reversible	Y	1446905	1,10,6,7,9	
NTD2m	5'-nucleotidase (UMP), mitochondrial		[m] : h2o + ump --> pi + uri	Mitochondria	3.1.3.5	Irreversible	N	2220529	2	
PYDXDH	pyridoxal dehydrogenase		[c] : h2o + o2 + pydx --> 4pyrdx + h2o2	Cytosol	1.2.3.1	Irreversible	N	2264648	2	
NTD10	5'-nucleotidase (XMP)		[c] : h2o + xmp --> pi + xtsn	Cytosol	3.1.3.5	Irreversible	N	144012	1,10,2,4,5,6	
DNDPt35m	dGDP transport via dADP antiport		dadp[m] + dgdp[c] --> dadp[c] + dgdp[m]	Cytosol, Mitochondria		Irreversible	Y	2274651	2	
ACACt2pp	acetoacetate transport via proton symport  (periplasm)		acac[p] + h[p] <==> acac[c] + h[c]	Cytosol, Periplasm		Reversible	Y	1911954	5	
P4507B11r	oxysterol 7alpha-hydroxylase	Cytochrome P450 7B1 (Oxysterol 7-alpha-hydroxylase), CP7B, cytochrome P450, family 7, subfamily B, polypeptide 1	[r] : h + nadph + o2 + xol25oh --> h2o + nadp + xoltri25	Endoplasmic Reticulum		Irreversible	N	2197813	2	
PI3PP	phosphatidylinositol-3-phosphate 3-phosphatase		[c] : h2o + pail3p_hs --> pail_hs + pi	Cytosol		Irreversible	N	2703528	2	
LPCOXp	L-pipecolate oxidase, peroxisomal		[x] : Lpipecol + o2 --> h + h2o2 + thp2c	Peroxisome	1.5.3.7	Irreversible	N	2211039	2	
34HPPt2p	3-(4-hydroxyphenyl)pyruvate peroxisomal transport via proton symport		34hpp[c] + h[c] <==> 34hpp[x] + h[x]	Peroxisome, Cytosol		Reversible	Y	1458217	6	
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	H2-neopterin triphosphate pyrophosphatase	[c] : ahdt + h2o --> dhpmp + h + ppi	Cytosol		Irreversible	N	1447052	1,10,3,4,5,6,7	
ACACT4p	acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal		[x] : 3odcoa + coa --> accoa + occoa	Peroxisome	2.3.1.16	Irreversible	N	1452218	2,6	
SARDHm	Sarcosine dehydrogenase (m)		[m] : fad + sarcs + thf --> fadh2 + gly + mlthf	Mitochondria	1.5.99.1	Irreversible	N	2207208	2	
DHEASULT	Dehydroepiandrosterone sulfotransferase	ST2, DHEA-ST, HST, Dehydroepiandrosterone sulfotransferase, ST2A3, Hydroxysteroid Sulfotransferase	[c] : dhea + paps --> dheas + h + pap	Cytosol	2.8.2.2	Irreversible	N	2320976	2	
7MHS	7-mercaptoheptanoate synthase	COBS15	[c] : 7ohp + cys-L + h + nadh --> 7mhp + nad + ser-L	Cytosol		Irreversible	N	1897773	9	
AOBUTDsm	L-2-amino-3-oxobutanoate decarboxylation, mitochondrial  (spontaneous)		[m] : 2aobut + h --> aact + co2	Mitochondria		Irreversible	N	2420110	2	
HMGCOARr	Hydroxymethylglutaryl CoA reductase (ir)		[r] : (2) h + hmgcoa + (2) nadph --> coa + mev-R + (2) nadp	Endoplasmic Reticulum	1.1.1.34	Irreversible	N	2207259	2	
UDPGPpp	UDPglucose pyrophosphohydrolase		[p] : h2o + udpg --> g1p + (2) h + ump	Periplasm	3.6.1.45	Irreversible	N	2388112	5	
SHCHF	sirohydrochlorin ferrochelatase		[c] : fe2 + scl --> (3) h + sheme	Cytosol		Irreversible	N	1553816	1,10,4,5,7,9	
LPLIPAL2ATE160	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:0)		[c] : 2agpe160 + pg160 --> apg160 + g3pe	Cytosol		Irreversible	N	2707951	5	
FEOXAMUtpp	ferroxamine (minus Fe3) secretion (to periplasm)		feoxam-un[c] + h[p] --> feoxam-un[p] + h[c]	Cytosol, Periplasm		Irreversible	Y	2305525	5	
PEPDt3	peptide transport in via proton symport		h[e] + pepd[e] --> h[c] + pepd[c]	Extra-organism, Cytosol		Irreversible	Y	1449892	6	
FPGS4	folylpolyglutamate synthetase (DHF)		[c] : (4) atp + dhf + (4) glu-L --> 5dhf + (4) adp + (4) h + (4) pi	Cytosol	6.3.2.17	Irreversible	N	2304246	2	
PIK3er	phosphatidylinositol 3-kinase, endoplasmic reticulum	1-phosphatidylinositol 3-kinase, type I phosphatidylinositol kinase, type III phosphoinositide 3-kinase, Vps34p	[r] : atp + pail_hs --> adp + h + pail3p_hs	Endoplasmic Reticulum	2.7.1.137	Irreversible	N	2265257	2	
HACD6	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)		[c] : 3otdcoa + h + nadh <==> 3htdcoa + nad	Cytosol	1.1.1.35	Reversible	N	214951	7	
G13MT_L	Glycolipid 1,3-alpha-D-mannosyltransferase (liver)		[c] : gdpmann + (0.1) mpdol_L --> gdp + h + (0.1) m1mpdol_L	Cytosol	2.4.1.132	Irreversible	N	1809568	2	
GTPDPK	GTP diphosphokinase	ATP-GTP 3'-diphosphotransferase, GPSI, guanosine pentaphosphate synthetase, (p)ppGpp synthetase I, GPSII, GTP pyrophosphokinase, (p)ppGpp synthetase II, stringent factor, guanosine 3',5'-polyphosphate synthase, guanosine 5',3'-polyphosphate synthetase, GTP diphosphokinase	[c] : atp + gtp --> amp + gdptp + h	Cytosol	2.7.6.5	Irreversible	N	213582	10,4,5,7	
GDPtg	GDP intracellular transport		gdp[c] <==> gdp[g]	Golgi Apparatus, Cytosol		Reversible	Y	2794959	2	
PMI12346PHn	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase, nuclear		[n] : h2o + ppmi12346p --> h + minohp + pi	Nucleus	3.6.1.52	Irreversible	N	2265139	2	
ALLPI	Allose 6-phosphate isomerase		[c] : all6p <==> allul6p	Cytosol		Reversible	N	1837837	5	
GCC2	glycine-cleavage system (lipoamide) irreversible		[c] : alpam + thf --> dhlam + mlthf + nh4	Cytosol	2.1.2.10	Irreversible	N	1573464	10	
PEPCK_re	phosphoenolpyruvate carboxykinase (GTP)	phosphoenolpyruvate carboxylase, phosphoenolpyruvic carboxykinase (GTP), phosphoenolpyruvate carboxykinase, phosphoenolpyruvate carboxykinase (GTP), phosphopyruvate carboxylase (GTP), PEP carboxylase, phosphopyruvate carboxylase, phosphopyruvate (guanosine triphosphate) carboxykinase, phosphoenolpyruvic carboxylase (GTP), phosphoenolpyruvic carboxykinase	[c] : gtp + oaa <==> co2 + gdp + pep	Cytosol	4.1.1.32	Reversible	N	2298434	10	
CREATt4(2)r	Creatine transport (sodium symport) (2:1)		creat[e] + (2) na1[e] <==> creat[c] + (2) na1[c]	Extra-organism, Cytosol		Reversible	Y	2307765	2	
PE161abcpp	phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)		atp[c] + h2o[c] + pe161[c] --> adp[c] + h[c] + pe161[p] + pi[c]	Cytosol, Periplasm		Irreversible	Y	2702385	4,5	
PSD141	Phosphatidylserine decarboxylase (n-C14:1)	phosphatidylserine decarboxylase;, PS decarboxylase	[c] : h + ps141 --> co2 + pe141	Cytosol	4.1.1.65	Irreversible	N	2618182	5	
GGH-5DHFl	Gamma-glutamyl hydrolase (5DHF), lysosomal		[l] : 5dhf + (4) h2o --> dhf + (4) glu-L	Lysosome		Irreversible	N	2422010	2	
SIAASE4ly	sialidase, lysosomal	acetylneuraminidase, neuraminidase, exo-alpha-sialidase, alpha-neuraminidase	[l] : h2o + ksii_core4 --> acnam + ksii_core4_deg1	Lysosome	3.2.1.18	Irreversible	N	2418080	2	
CDGGGS	CDP-2,3-di-O-geranylgeranyl-sn-glycerol synthase	CDP-archaeol synthase	[c] : ctp + dgggp + h --> cdgggp + ppi	Cytosol	2.7.7.41	Irreversible	N	1842038	9	
RETt	Retinol transport via faciliated diffusion		retinol[e] --> retinol[c]	Extra-organism, Cytosol		Irreversible	Y	2264906	2	
ALASm	5-aminolevulinate synthase		[m] : gly + h + succoa --> 5aop + co2 + coa	Mitochondria	2.3.1.37	Irreversible	N	1449122	2,6	
SUCRt2	sucrose transport in via proton symport		h[e] + sucr[e] --> h[c] + sucr[c]	Extra-organism, Cytosol		Irreversible	Y	1441869	6	
DCK1m	Deoxycytidine kinase, mitochondrial (ATP)		[m] : atp + dcyt <==> adp + dcmp + h	Mitochondria	2.7.1.74	Reversible	N	2743047	2	
DHPPDA	diaminohydroxyphosphoribosylaminopyrimidine deaminase		[c] : 25dhpp + h + h2o --> 5apru + nh4	Cytosol	3.5.4.26	Irreversible	N	1532267	10,3,4,6,7	
BZt1pp	Benzoate proton symport periplasm		bz[p] + h[p] <==> bz[c] + h[c]	Cytosol, Periplasm		Reversible	Y	3435818	4	
SPMS	spermidine synthase		[c] : ametam + ptrc --> 5mta + h + spmd	Cytosol	2.5.1.16	Irreversible	N	139063	1,10,2,3,4,5,6,7	
ESTRIOLtr	estriol intracellular transport		estriol[r] <==> estriol[c]	Endoplasmic Reticulum, Cytosol		Reversible	Y	2423429	2	
HPYRtp	hydroxypyruate transport, peroxisomal		hpyr[c] <==> hpyr[x]	Peroxisome, Cytosol		Reversible	Y	2390772	2	
CITMCOAHm	L-Citramalyl-CoA hydro-lyase, mitochondrial		[m] : h2o + itaccoa <==> citmcoa-L	Mitochondria	4.2.1.56	Reversible	N	2256322	2	
EDD	6-phosphogluconate dehydratase		[c] : 6pgc --> 2ddg6p + h2o	Cytosol	4.2.1.12	Irreversible	N	1436067	1,3,4,5	
DAGK160	diacylglycerol kinase (n-C16:0)	ATP:diacylglycerol phosphotransferase;, DGK;, diacylglycerol kinase;, DG kinase;, 1,2-diacylglycerol kinase;, sn-1,2-diacylglycerol kinase;, diacylglycerol:ATP kinase, diglyceride kinase;, 1,2-diacylglycerol kinase (phosphorylating);, arachidonoyl-specific diacylglycerol kinase;	[c] : 12dgr160 + atp --> adp + h + pa160	Cytosol	2.7.1.107	Irreversible	N	2618281	10,5	
MSHAMID	conjugated glutathione amidase (Mtb)		[c] : bmnmsh + h2o --> acysbmn + igam	Cytosol		Irreversible	N	3134771	10	
DASYN161	CDP-diacylglycerol synthetase (n-C16:1)	phosphatidate cytidyltransferase;, CDP-diacylglycerol synthase;, phosphatidate cytidylyltransferase;, phosphatidic acid cytidylyltransferase;, CDP-DG, DAG synthetase;, CTP-diacylglycerol synthetase;, cytidine diphosphoglyceride pyrophosphorylase;, CTP:1,2-diacylglycerophosphate-cytidyl transferase;, CDP-diacylglyceride synthetase;, CDP diglyceride pyrophosphorylase;	[c] : ctp + h + pa161 --> cdpdhdec9eg + ppi	Cytosol	2.7.7.41	Irreversible	N	2617696	4,5	
S3TASE1ly	N-acetylglucosamine-3-sulfatase, lysosomal	chondroitinsulfatase	[l] : h2o + hs_deg10 <==> h + hs_deg11 + so4	Lysosome	3.1.6.15	Reversible	N	2415783	2	
HSAT4ly	heparan-glucosaminide N-acetyltransferase, lysosomal	acetyl-CoA:alpha-glucosaminide N-acetyltransferase	accoa[c] + hs_deg19[l] --> coa[c] + h[l] + hs_deg20[l]	Cytosol, Lysosome	2.3.1.78	Irreversible	Y	2418900	2	
H2O2tp	hydrogen peroxide peroxisomal transport via diffusion		h2o2[c] <==> h2o2[x]	Peroxisome, Cytosol		Reversible	Y	1447712	2	
PDX5POi	pyridoxine 5'-phosphate oxidase		[c] : o2 + pdx5p --> h2o2 + pydx5p	Cytosol	1.4.3.5	Irreversible	N	2937610	4,5	
PACCOALr	phenylacetate-CoA ligase		[c] : atp + coa + pac <==> amp + phaccoa + ppi	Cytosol	6.2.1.30	Reversible	N	1898801	4	
H4MPTS11	tetrahydromethanopterin synthesis reaction 11		[c] : dhadr + prpp --> dhadrpr + ppi	Cytosol		Irreversible	N	1885741	9	
CDAPPA180	CDP-Diacylglycerol pyrophostatase (n-C18:0)		[c] : cdpdodecg + h2o --> cmp + (2) h + pa180	Cytosol	3.6.1.26	Irreversible	N	2617743	5	
HISTD	histidinol dehydrogenase		[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh	Cytosol	1.1.1.23	Irreversible	N	140428	1,10,4,5,6,7,9	
MG2t3_2pp	magnesium (Mg+2) transport in/out via proton antiport (periplasm)		(2) h[c] + mg2[p] <==> (2) h[p] + mg2[c]	Cytosol, Periplasm		Reversible	Y	3241777	5	
GLCMter	glucose transport via membrane vesicle		glc-D[r] --> glc-D[e]	Extra-organism, Endoplasmic Reticulum		Irreversible	Y	2305227	2	
CYSTHRNaEx	L-cysteine/L-threonine Na-dependent exchange (Cys-L in)		cys-L[e] + na1[e] + thr-L[c] --> cys-L[c] + na1[c] + thr-L[e]	Extra-organism, Cytosol		Irreversible	Y	2305704	2	
K2L4Atex	KDO(2)-lipid IV A transport via vector (periplasm to extracellular)		kdo2lipid4[p] --> kdo2lipid4[e]	Extra-organism, Periplasm		Irreversible	Y	2932372	5	
DORNOp	D-ornithine oxidase, perixosomal		[x] : h2o + o2 + orn-D --> 5a2opntn + h2o2 + nh4	Peroxisome	1.4.3.3	Irreversible	N	2263103	2	
PABB	pabb		[c] : chor + nh4 --> 4adcho + h2o	Cytosol		Irreversible	N	1752252	3,4	
GND	phosphogluconate dehydrogenase		[c] : 6pgc + nadp --> co2 + nadph + ru5p-D	Cytosol	1.1.1.44	Irreversible	N	134821	1,10,2,3,4,5,6,7,8	
FUMt2_2	Fumarate transport via proton symport (2 H)		fum[e] + (2) h[e] --> fum[c] + (2) h[c]	Extra-organism, Cytosol		Irreversible	Y	1451316	1,8	
MCITS	2-methylcitrate synthase	methylcitrate synthase, methylcitrate synthetase	[c] : h2o + oaa + ppcoa --> 2mcit + coa + h	Cytosol	4.1.3.31	Irreversible	N	1461220	1,2,4,5,6	
ABTArm	4-aminobutyrate transaminase, reversible (mitochondrial)		[m] : 4abut + akg <==> glu-L + sucsal	Mitochondria	2.6.1.19	Reversible	N	2169850	2	
XYLK2	L-xylulokinase	L-xylulokinase;, L-xylulokinase (phosphorylating)	[c] : atp + xylu-L --> adp + h + xu5p-L	Cytosol	2.7.1.53	Irreversible	N	2957636	5	
25HVITD3tin	25-hydroxyvitamin D3 transport in cytoplasm		25hvitd3[e] --> 25hvitd3[c]	Extra-organism, Cytosol		Irreversible	Y	2290259	2	
XYLK	xylulokinase	xylulokinase (phosphorylating);, xylulokinase;, D-xylulokinase	[c] : atp + xylu-D --> adp + h + xu5p-D	Cytosol	2.7.1.17	Irreversible	N	137422	1,10,2,5,6	
DHDPS	dihydrodipicolinate synthase		[c] : aspsa + pyr --> 23dhdp + h + (2) h2o	Cytosol	4.2.1.52	Irreversible	N	1529177	1,10,3,4,5,7,9	
NO3R2	Nitrate reductase (Menaquinol-8)		(2) h[c] + mql8[c] + no3[c] --> (2) h[e] + h2o[c] + mqn8[c] + no2[c]	Extra-organism, Cytosol		Irreversible	Y	1482515	1,10,7	
PASYN_EC	Phosphatidic acid synthase (Ecoli)		[c] : glyc3p + (0.14) hdeACP + (0.04) myrsACP + octeACP + (0.72) palmACP + (0.1) tdeACP --> (2) ACP + (0.02) pa_EC	Cytosol		Irreversible	N	1512227	1	
ZYMSTt	zymosterol reversible transport		zymst[e] <==> zymst[c]	Extra-organism, Cytosol		Reversible	Y	1456994	6	
ILEtec	L-isoleucine transport via diffusion (extracellular to cytosol)		ile-L[e] <==> ile-L[c]	Extra-organism, Cytosol		Reversible	Y	2307429	2	
GK1	guanylate kinase (GMP:ATP)		[c] : atp + gmp <==> adp + gdp	Cytosol	2.7.4.8	Reversible	N	144407	1,10,2,3,4,5,6,7,9	
FUCACNGALACGLCGALGLUSIDEte	blood group intracellular transport		fucacngalacglcgalgluside_hs[e] <==> fucacngalacglcgalgluside_hs[c]	Extra-organism, Cytosol		Reversible	Y	2704405	2	
NADH9	NADH dehydrogenase (demethylmenaquinone-8 & 0 protons)		[c] : 2dmmq8 + h + nadh --> 2dmmql8 + nad	Cytosol	1.6.5.3	Irreversible	N	1455338	1,10,5,7	
S6T7g	galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus		[g] : ksi_pre13 + paps --> h + ksi_pre14 + pap	Golgi Apparatus		Irreversible	N	2297283	2	
PGP161abcpp	phosphatidylglycerophosphate transport via ABC system (n-C16:1, periplasm)		atp[c] + h2o[c] + pgp161[c] --> adp[c] + h[c] + pgp161[p] + pi[c]	Cytosol, Periplasm		Irreversible	Y	2706007	4,5	
DGCHOLte	bile acid intracellular transport		dgchol[e] <==> dgchol[c]	Extra-organism, Cytosol		Reversible	Y	2704168	2	
PDX5PS	Pyridoxine 5'-phosphate synthase		[c] : dxyl5p + nad + phthr --> co2 + h + (2) h2o + nadh + pdx5p + pi	Cytosol		Irreversible	N	1529304	1,4,5	
S3TASE3ly	N-acetylglucosamine-3-sulfatase, lysosomal	chondroitinsulfatase	[l] : h2o + hs_deg23 <==> h + hs_deg24 + so4	Lysosome	3.1.6.15	Reversible	N	2304611	2	
DHORTS	dihydroorotase		[c] : dhor-S + h2o <==> cbasp + h	Cytosol	3.5.2.3	Reversible	N	143526	1,10,2,3,4,5,6,7,9	
FADtx	FAD transporter, peroxisomal		fad[c] <==> fad[x]	Peroxisome, Cytosol		Reversible	Y	2377204	2	
P45019A2r	aromatase	P-450AROM, Cytochrome P450 19A1, CYPXIX, estrogen synthetase	[r] : nadph + (2) o2 + tststerone --> estradiol + for + (2) h2o + nadp	Endoplasmic Reticulum	1.14.14.1	Irreversible	N	2211723	2	
ACTLMO	acetol monooxygenase		[c] : acetol + h + nadph + o2 --> (2) h2o + mthgxl + nadp	Cytosol		Irreversible	N	2391178	2	
PIt5m	phosphate transport via hydroxide ion symport, mitochondrial		oh1[m] + pi[c] <==> oh1[c] + pi[m]	Cytosol, Mitochondria		Reversible	Y	1446644	6	
CRNtHa	L-carnitine outward transport (H+ antiport)		crn[c] + h[e] --> crn[e] + h[c]	Extra-organism, Cytosol		Irreversible	Y	2323872	2	
